Name,Winrates,Sample_size
Xin Zhao,51.65%,106717
Nocturne,51.75%,62606
Shaco,50.96%,93005
Lee Sin,48.88%,262433
Diana,47.91%,88651
Kha'Zix,51.82%,165421
Fiddlesticks,52.08%,75623
Kayn,49.81%,166155
Shyvana,50.07%,35886
Evelynn,51.26%,73153
Karthus,49.62%,39970
Kindred,51.28%,66826
Warwick,50.48%,38463
Hecarim,49.06%,55749
Rammus,50.38%,29266
Volibear,49.15%,26342
Ekko,50.33%,156984
Olaf,49.69%,27852
Nunu & Willump,51.36%,55711
Zac,50.68%,71109
Master Yi,49.9%,80796
Trundle,51.4%,57251
Jarvan IV,52.15%,193383
Elise,49.76%,44830
Graves,49.44%,138921
Rek'Sai,52.47%,38173
Amumu,51.74%,91007
Poppy,50.34%,26877
Ivern,50.99%,19251
Vi,50.79%,34996
Udyr,48.71%,14577
Rengar,48.91%,42914
Sejuani,48.93%,22315
Nidalee,49.92%,88164
Gragas,48.85%,28815
Lillia,50.06%,64996
Rumble,45.63%,12073
Viego,47.28%,137863
Taliyah,51.42%,41317
