Name,Winrate,Sample_size
Jarvan IV,51.96,6095
Lee Sin,49.53,10415
Taliyah,53.8,2237
Kindred,51.76,2589
Nidalee,49.56,5266
Graves,49.92,5642
Rek'Sai,53.95,1112
Ekko,50.37,4166
Xin Zhao,51.06,2221
Fiddlesticks,53.78,1088
Karthus,50.07,1505
Kayn,49.6,3106
Elise,48.33,2249
Viego,48.85,2779
Kha'Zix,50.29,2419
Nocturne,51.79,922
Nunu & Willump,51.41,1209
Evelynn,50.56,1258
Shaco,47.67,1695
Hecarim,51.04,1100
Lillia,48.58,1586
Vi,53.56,489
Gragas,52.19,890
Zac,47.72,1974
Warwick,50.62,732
Ivern,52.2,320
Trundle,49.4,671
Master Yi,47.36,1193
Rammus,48.34,542
Sejuani,49.67,760
Olaf,47.91,599
Shyvana,49.44,360
Volibear,48.64,218
Udyr,48.57,210
Rengar,45.54,222
