Name,Winrate,Sample_size
Jarvan IV,52.41,17740
Xin Zhao,52.28,8733
Kha'Zix,51.48,14103
Evelynn,51.42,6459
Kayn,50.61,15464
Fiddlesticks,52.67,6378
Ekko,50.15,13848
Rek'Sai,53.73,3497
Nocturne,50.99,5246
Kindred,51.19,6292
Rammus,52.03,2606
Taliyah,52.77,4086
Karthus,51.17,3830
Zac,50.63,6299
Nunu & Willump,51.41,4719
Trundle,51.24,4038
Graves,49.96,13554
Shaco,49.23,8150
Vi,50.83,2951
Lee Sin,49.23,24440
Warwick,50.36,3370
Ivern,50.99,1512
Lillia,49.69,5951
Elise,49.01,4687
Udyr,48.67,1204
Shyvana,49.31,2953
Hecarim,49.37,4894
Master Yi,49.02,6771
Rengar,49.1,3623
Olaf,48.55,2412
Nidalee,49.23,9204
Sejuani,48.49,2982
Gragas,48.41,3375
Volibear,47.46,2027
Viego,46.9,11236
